           I    Z         F         X          G    Y
0   0.001596  0.0  0.422853  4.165217  -1.193412  1.0
1   0.948586  0.0  0.872221 -1.781503   0.015617  1.0
2   2.138787  1.0  0.518103  1.698039   2.478030  1.0
3  -1.416516  0.0  0.569436  6.135492  -0.005779  1.0
4   1.838729  0.0  0.349054  2.956430   5.154554  1.0
5   2.337368  0.0  0.761126 -0.139376   0.791839  1.0
6  -0.447940  2.0  0.340419  1.959975  -1.466492  1.0
7  -0.011250  0.0  0.478534 -0.975469  -1.195286  1.0
8  -0.138559  0.0  0.504915  1.806006  -3.650316  1.0
9   0.468156  0.0  0.799862  1.478633  -0.954456  1.0
10  0.718721  0.0  0.723637 -1.571791  -0.762799  0.0
11  1.452183  1.0  0.408230  1.932468   0.746002  1.0
12  0.129995  0.0  0.517197  1.558442  -1.292087  1.0
13  1.509073  2.0  0.606094  4.770849  12.212224  1.0
14  0.265505  0.0  0.590094  4.785053   5.279284  1.0
15  1.535433  0.0  0.641829  4.071386  -0.720663  0.0
16 -0.126469  0.0  0.715528 -2.121405   2.744034  1.0
17  0.911039  0.0  0.777805 -0.648831  -0.720141  1.0
18  1.359020  0.0  0.696476  5.160369  -4.037025  0.0
19  2.376600  2.0  0.649346  6.043060  -1.452145  1.0
20  2.554033  2.0  0.710395  7.329173 -11.865118  1.0
21 -0.778799  0.0  0.622759  2.931304  -0.092156  1.0
22  0.924680  1.0  0.656730  4.515281  -0.717708  1.0
23 -0.453316  0.0  0.839477  2.664947   3.280705  0.0
24  0.670942  1.0  0.838832  4.358366  -0.073758  1.0
25  0.802982  1.0  0.660055 -1.346236   0.781770  1.0
26 -1.418782  0.0  0.618894 -0.264432   0.750694  1.0
27  0.048956  0.0  0.313782  1.472765   0.436241  1.0
28  0.474344  2.0  0.598941  0.889735  -1.819942  1.0
29 -0.478927  0.0  0.670221 -0.313889   0.615117  1.0
30  1.574689  0.0  0.651700  3.005631  -0.377951  1.0
31 -0.085342  0.0  0.640208  0.417447   0.387517  1.0
32  0.265635  2.0  0.628338 -1.160856   1.641046  1.0
33 -0.941360  0.0  0.756240  6.914572   2.240305  0.0
34  2.111823  0.0  0.603224  7.450342  -1.957827  0.0
35 -0.493707  0.0  0.632955  1.229453   1.213018  1.0
36  1.352407  2.0  0.525011  5.431662  -6.193352  1.0
37 -0.552899  0.0  0.663413 -4.388112   1.778438  0.0
38 -0.173790  0.0  0.626824  7.169006  -0.942431  1.0
39  0.395608  1.0  0.684774 -1.785013   1.344557  1.0
40  0.930777  1.0  0.544797 -0.734567   0.437169  0.0
41 -0.926175  0.0  0.800468 -3.711423  -1.378811  1.0
42  2.336173  0.0  0.519432  0.808575   0.959903  1.0
43  0.954192  0.0  0.573745  2.963357  -0.468533  0.0
44 -0.938759  0.0  0.449190  3.662034   5.034281  0.0
45  0.108474  0.0  0.572528  0.678965   0.463077  1.0
46  0.513223  1.0  0.833070 -0.049650   0.879957  1.0
47  2.128022  0.0  0.355548  5.542797  11.420749  0.0
48 -2.075765  0.0  0.658547  0.462776   1.040173  1.0
49  0.544824  0.0  0.583773 -2.023482   0.650316  1.0
