           I    Z         F    X         G    Y
0   1.640203  0.0  0.689699  1.0 -0.139891  1.0
1   2.307426  1.0  0.415425  1.0 -0.960182  1.0
2  -0.534539  0.0  0.657333  1.0  0.146767  1.0
3   1.718840  1.0  0.716014  1.0  2.605780  0.0
4   0.774961  0.0  0.488004  1.0 -1.564076  1.0
5  -0.087488  0.0  0.463819  1.0  1.456802  1.0
6  -0.011097  1.0  0.604659  1.0  0.219089  1.0
7   0.175862  0.0  0.787930  1.0  0.305262  1.0
8   1.205995  0.0  0.675094  1.0  0.198877  1.0
9   1.549044  0.0  0.634654  1.0  0.961015  1.0
10  0.497235  0.0  0.803027  1.0 -0.920432  1.0
11  1.664014  0.0  0.674973  1.0  0.364291  1.0
12  2.328962  1.0  0.790567  1.0 -0.066032  1.0
13  2.193051  0.0  0.665117  1.0  0.659311  1.0
14  0.029331  0.0  0.688198  1.0  1.690271  1.0
15  1.796283  0.0  0.719805  1.0  0.952974  1.0
16 -0.343318  0.0  0.731899  1.0  0.357423  0.0
17  0.564342  0.0  0.679004  1.0  0.600030  0.0
18  1.108039  0.0  0.725049  1.0  1.605423  1.0
19 -2.559924  0.0  0.357225  1.0  1.185569  1.0
