           I    Z         F         X         G    Y
0   1.881667  0.0  0.705819  1.231397  1.388961  1.0
1   0.683760  0.0  0.466344 -2.743144  1.125762  1.0
2   1.386987  0.0  0.850778 -3.400878 -1.006615  1.0
3   0.339835  0.0  0.482775 -0.923592  0.341733  1.0
4   0.605290  0.0  0.594679 -3.201709 -1.723247  1.0
5   1.360204  0.0  0.889351  2.131980 -1.258455  1.0
6   0.775798  0.0  0.817864 -2.663357  4.568715  1.0
7  -0.148507  0.0  0.507927  3.210934 -2.459709  1.0
8   1.459942  0.0  0.814352 -0.081808  0.671703  1.0
9   0.118006  0.0  0.610605  0.771028  1.035281  1.0
10  0.511252  0.0  0.645075  4.109268  3.456380  1.0
11  1.975955  0.0  0.844613  1.949762  2.598938  1.0
12  2.340688  0.0  0.923220  1.720259  4.325288  1.0
13  1.996982  0.0  0.661245 -0.518383  1.145445  1.0
14  1.489037  0.0  0.681051  4.122436  0.253751  1.0
15  0.656010  0.0  0.526354  0.948553  0.749898  1.0
16 -0.799315  0.0  0.556122  2.873356  2.991586  1.0
17  0.852588  0.0  0.462668  1.598350  2.354676  1.0
18  1.470816  0.0  0.808458  0.697948  1.338773  1.0
19  0.056623  0.0  0.356128  1.494624  1.748512  1.0
