           I    Z         F         X    G    Y
0   0.851781  2.0  0.597695 -1.111724  2.0  1.0
1  -0.146804  0.0  0.785638  2.135241  2.0  1.0
2   1.647379  1.0  0.866591  2.400503  2.0  1.0
3   0.596916  2.0  0.614059  1.417346  2.0  1.0
4  -0.043939  0.0  0.718267  2.469876  2.0  1.0
5   1.671429  0.0  0.633893  0.119158  2.0  1.0
6  -1.031979  1.0  0.726527  1.516798  2.0  0.0
7  -0.819540  1.0  0.603971  1.017973  2.0  0.0
8   0.961318  0.0  0.846771  0.206632  2.0  1.0
9   0.550009  0.0  0.836456  1.509425  2.0  1.0
10  0.965736  1.0  0.502533  0.635496  2.0  1.0
11  1.660313  0.0  0.905479  0.680201  2.0  1.0
12 -0.710100  2.0  0.518972 -6.041189  2.0  1.0
13  0.773942  0.0  0.774732  2.053157  2.0  1.0
14  1.501856  0.0  0.740570  9.821209  2.0  1.0
15 -0.362717  1.0  0.678092  5.577193  2.0  1.0
16  1.086139  0.0  0.646736  3.918119  2.0  1.0
17  0.414517  1.0  0.387856  3.654307  2.0  1.0
18  1.024386  2.0  0.555284  2.134061  2.0  1.0
19  0.841236  0.0  0.544684  3.328620  2.0  1.0
